Time period,"Journeys between regions
(thousands)","Journeys within regions
(thousands)","Total journeys
(thousands)",,Time period,"Journeys between England and Scotland
(thousands)","Journeys between England and Wales
(thousands)","Journeys between Scotland and Wales
(thousands)",,Time period,"Journeys within England
(thousands)","Journeys within Scotland
(thousands)","Journeys within Wales
(thousands)"
Apr 1995 to Mar 1996,"209,231","380,268","589,499",,Apr 1995 to Mar 1996,"4,491","5,021",76,,Apr 1995 to Mar 1996,"526,145","44,376","9,390"
Apr 1996 to Mar 1997,"227,015","400,902","627,917",,Apr 1996 to Mar 1997,"4,462","5,255",74,,Apr 1996 to Mar 1997,"563,358","45,216","9,553"
Apr 1997 to Mar 1998,"245,518","425,601","671,119",,Apr 1997 to Mar 1998,"4,631","5,529",72,,Apr 1997 to Mar 1998,"602,786","48,355","9,747"
Apr 1998 to Mar 1999,"259,154","445,843","704,997",,Apr 1998 to Mar 1999,"5,114","5,613",74,,Apr 1998 to Mar 1999,"634,658","49,865","9,674"
Apr 1999 to Mar 2000,"276,827","470,734","747,560",,Apr 1999 to Mar 2000,"5,401","5,768",75,,Apr 1999 to Mar 2000,"673,413","52,137","10,766"
Apr 2000 to Mar 2001,"281,659","473,418","755,077",,Apr 2000 to Mar 2001,"4,902","5,720",70,,Apr 2000 to Mar 2001,"680,885","52,297","11,203"
Apr 2001 to Mar 2002,"285,549","473,079","758,628",,Apr 2001 to Mar 2002,"5,221","5,979",58,,Apr 2001 to Mar 2002,"684,894","50,372","12,104"
Apr 2002 to Mar 2003,"292,284","483,031","775,315",,Apr 2002 to Mar 2003,"4,813","6,214",50,,Apr 2002 to Mar 2003,"701,875","49,938","12,426"
Apr 2003 to Mar 2004,"300,884","490,511","791,395",,Apr 2003 to Mar 2004,"4,972","6,633",43,,Apr 2003 to Mar 2004,"713,505","53,380","12,863"
Apr 2004 to Mar 2005,"308,648","499,837","808,484",,Apr 2004 to Mar 2005,"4,847","6,693",41,,Apr 2004 to Mar 2005,"724,945","58,802","13,156"
Apr 2005 to Mar 2006,"316,713","510,681","827,395",,Apr 2005 to Mar 2006,"5,176","6,897",41,,Apr 2005 to Mar 2006,"737,676","64,115","13,491"
Apr 2006 to Mar 2007 [b],"347,320","636,715","984,035",,Apr 2006 to Mar 2007,"5,517","7,238",41,,Apr 2006 to Mar 2007 [b],"889,646","66,998","14,596"
Apr 2007 to Mar 2008,"370,876","647,177","1,018,053",,Apr 2007 to Mar 2008,"5,767","7,605",40,,Apr 2007 to Mar 2008,"918,576","69,828","16,236"
Apr 2008 to Mar 2009 [b],"374,475","699,688","1,074,163",,Apr 2008 to Mar 2009,"6,091","7,902",38,,Apr 2008 to Mar 2009 [b],"969,555","73,192","17,385"
Apr 2009 to Mar 2010,"370,030","695,362","1,065,392",,Apr 2009 to Mar 2010,"6,599","8,003",42,,Apr 2009 to Mar 2010,"959,594","73,153","18,000"
Apr 2010 to Mar 2011,"393,335","767,094","1,160,429",,Apr 2010 to Mar 2011,"7,368","8,538",51,,Apr 2010 to Mar 2011,"1,050,007","75,780","18,685"
Apr 2011 to Mar 2012,"410,055","817,963","1,228,018",,Apr 2011 to Mar 2012,"7,550","9,012",48,,Apr 2011 to Mar 2012,"1,112,829","79,541","19,038"
Apr 2012 to Mar 2013,"421,251","847,789","1,269,040",,Apr 2012 to Mar 2013,"7,696","9,124",49,,Apr 2012 to Mar 2013,"1,151,055","81,883","19,232"
Apr 2013 to Mar 2014,"434,780","897,855","1,332,634",,Apr 2013 to Mar 2014,"7,934","9,009",45,,Apr 2013 to Mar 2014,"1,213,164","82,691","19,792"
Apr 2014 to Mar 2015,"453,577","939,024","1,392,601",,Apr 2014 to Mar 2015,"8,618","9,302",52,,Apr 2014 to Mar 2015,"1,267,253","87,404","19,972"
Apr 2015 to Mar 2016,"467,311","996,466","1,463,777",,Apr 2015 to Mar 2016,"8,364","9,564",43,,Apr 2015 to Mar 2016,"1,335,945","89,156","20,706"
Apr 2016 to Mar 2017,"477,167","992,509","1,469,675",,Apr 2016 to Mar 2017,"9,010","9,193",39,,Apr 2016 to Mar 2017,"1,340,507","89,709","21,218"
Apr 2017 to Mar 2018,"482,679","993,437","1,476,116",,Apr 2017 to Mar 2018,"9,579","9,499",39,,Apr 2017 to Mar 2018,"1,343,174","92,333","21,492"
Apr 2018 to Mar 2019,"497,072","1,022,646","1,519,718",,Apr 2018 to Mar 2019,"9,880","9,417",41,,Apr 2018 to Mar 2019,"1,386,719","92,028","21,633"
Apr 2019 to Mar 2020,"481,726","1,021,846","1,503,572",,Apr 2019 to Mar 2020,"9,769","9,367",41,,Apr 2019 to Mar 2020,"1,374,142","89,749","20,504"
Apr 2020 to Mar 2021,"79,556","264,310","343,866",,Apr 2020 to Mar 2021,"1,350","1,587",6,,Apr 2020 to Mar 2021 ,"323,171","14,210","3,543"
Apr 2021 to Mar 2022,"261,962","632,277","894,239",,Apr 2021 to Mar 2022,"7,399","6,357",23,,Apr 2021 to Mar 2022,"824,037","45,097","11,326"
Apr 2022 to Mar 2023 [b],"365,794","862,660","1,228,454",,Apr 2022 to Mar 2023 [b],"9,118","8,632",33,,Apr 2022 to Mar 2023 [b],"1,135,601","60,254","14,816"
Apr 2023 to Mar 2024,"414,873","1,011,985","1,426,858",,Apr 2023 to Mar 2024,"10,253","9,901",53,,Apr 2023 to Mar 2024,"1,315,377","74,565","16,709"
Apr 2024 to Mar 2025,"448,171","1,084,134","1,532,306",,Apr 2024 to Mar 2025,"11,347","10,541",61,,Apr 2024 to Mar 2025,"1,412,900","78,032","19,425"
