"Time Period","National Great Britain","National England and Wales","National Scotland","Sector London and South East","Sector Long Distance","Sector Regional and Scotland","Franchised Avanti West Coast","Franchised c2c","Franchised Caledonian Sleeper","Franchised Chiltern Railways","Franchised CrossCountry","Franchised East Midlands Railway","Franchised Elizabeth line","Franchised Govia Thameslink Railway","Franchised Great Western Railway","Franchised Greater Anglia","Franchised London North Eastern Railway","Franchised London Overground","Franchised Merseyrail","Franchised Northern Trains","Franchised ScotRail","Franchised South Western Railway","Franchised Southeastern","Franchised TfW Rail","Franchised TransPennine Express","Franchised West Midlands Trains","Non-Franchised Grand Central","Non-Franchised Heathrow Express","Non-Franchised Hull Trains","Non-Franchised Lumo"
"Apr 2019 to Mar 2020 (Period 01)","3.18","3.03","4.48","3.22","3.84","3.01","3.37","1.36","10.63","1.11","4.92","1.78","1.38","4.47","2.16","2.51","5.07","3.49","1.37","2.50","4.47","3.49","2.82","3.29","4.34","2.47","2.34","1.21","4.53","[z]"
"Apr 2019 to Mar 2020 (Period 02)","3.19","3.19","3.20","3.39","4.29","2.69","4.58","1.64","16.56","1.69","3.75","1.49","1.49","4.09","2.04","2.47","5.33","3.93","1.65","3.29","3.16","4.07","3.08","1.82","6.69","2.82","5.44","1.15","7.89","[z]"
"Apr 2019 to Mar 2020 (Period 03)","3.78","3.86","3.11","3.86","6.19","3.21","6.16","1.52","14.02","1.55","5.23","2.97","1.71","5.32","2.90","2.59","10.09","4.37","1.95","3.74","3.08","3.18","2.98","2.38","7.66","5.53","11.84","2.15","10.12","[z]"
"Apr 2019 to Mar 2020 (Period 04)","4.37","4.54","2.89","4.81","6.09","3.36","3.57","2.47","7.74","2.67","6.26","2.68","3.02","5.70","4.21","3.27","9.72","5.62","2.37","3.58","2.87","6.49","3.16","3.89","5.61","5.66","10.12","1.45","10.12","[z]"
"Apr 2019 to Mar 2020 (Period 05)","5.83","6.10","3.47","5.86","11.20","4.76","15.07","2.87","18.93","2.10","9.45","4.87","1.58","8.63","3.87","4.53","13.45","5.51","2.18","5.95","3.43","5.24","4.17","4.23","14.37","9.27","15.56","1.45","14.85","[z]"
"Apr 2019 to Mar 2020 (Period 06)","4.03","4.18","2.69","4.09","6.33","3.49","3.90","1.57","10.84","1.28","6.87","1.84","1.61","5.03","3.65","4.91","5.94","4.48","1.25","4.95","2.66","4.50","2.35","3.60","11.69","4.29","4.91","1.79","4.89","[z]"
"Apr 2019 to Mar 2020 (Period 07)","4.80","5.02","2.88","5.14","5.82","4.09","5.59","1.91","11.89","2.74","6.96","3.00","1.25","7.34","2.41","3.46","5.49","4.95","0.92","4.86","2.86","5.55","3.83","4.17","8.43","8.96","3.83","1.66","5.16","[z]"
"Apr 2019 to Mar 2020 (Period 08)","5.69","5.93","3.64","5.05","10.56","5.73","13.27","2.94","26.79","1.26","11.09","4.53","2.45","5.63","3.65","4.62","14.57","4.40","1.68","7.59","3.58","6.28","3.24","6.21","13.89","12.48","9.73","4.18","14.37","[z]"
"Apr 2019 to Mar 2020 (Period 09)","5.97","6.24","3.62","5.60","10.06","5.73","6.37","5.27","19.76","2.86","9.55","4.28","1.69","6.02","4.19","4.16","9.32","5.27","0.96","8.44","3.57","7.45","5.68","5.02","21.15","9.92","8.03","1.89","4.63","[z]"
"Apr 2019 to Mar 2020 (Period 10)","6.38","6.73","3.33","5.63","11.85","6.35","4.46","2.55","9.30","1.61","9.83","3.88","2.22","7.40","6.21","4.27","9.10","6.02","2.29","9.25","3.31","6.03","4.62","5.17","26.26","10.26","10.05","2.33","4.80","[z]"
